word,type
easy,adjective
hideous,adjective
thoughtful,adjective
decimal,adjective
afraid,adjective
austere,adjective
amazing,adjective
thirsty,adjective
evasive,adjective
vocational,adjective
aged,adjective
salty,adjective
economic,adjective
moldy,adjective
smug,adjective
defiant,adjective
unlawful,adjective
timely,adjective
incomparable,adjective
moist,adjective
glum,adjective
foregoing,adjective
useless,adjective
similar,adjective
delightful,adjective
exultant,adjective
pampered,adjective
pure,adjective
tearful,adjective
versed,adjective
scant,adjective
imaginary,adjective
competent,adjective
scorching,adjective
adolescent,adjective
satisfying,adjective
awkward,adjective
venerated,adjective
aggressive,adjective
unlucky,adjective
gorgeous,adjective
fearless,adjective
jolly,adjective
narrow,adjective
unusual,adjective
foamy,adjective
quarrelsome,adjective
giddy,adjective
prolific,adjective
curly,adjective
shrewd,adjective
burdensome,adjective
warlike,adjective
cultivated,adjective
radiant,adjective
unaware,adjective
sluggish,adjective
boiling,adjective
tight,adjective
nondescript,adjective
uneven,adjective
acidic,adjective
screaming,adjective
unassuming,adjective
praiseworthy,adjective
solid,adjective
pretty,adjective
grown,adjective
grizzled,adjective
grand,adjective
weird,adjective
bossy,adjective
animated,adjective
powerful,adjective
truthful,adjective
grandiose,adjective
skinny,adjective
enlightened,adjective
lamentable,adjective
romantic,adjective
elated,adjective
untimely,adjective
local,adjective
hard,adjective
deafening,adjective
fluid,adjective
luscious,adjective
universal,adjective
patient,adjective
natural,adjective
preeminent,adjective
growling,adjective
seductive,adjective
macho,adjective
both,adjective
glamorous,adjective
functional,adjective
novel,adjective
scalding,adjective
breakable,adjective
respected,adjective
acrobatic,adjective
queasy,adjective
vengeful,adjective
slow,adjective
big,adjective
frigid,adjective
closed,adjective
foolhardy,adjective
sudden,adjective
snappy,adjective
electric,adjective
mountainous,adjective
negligible,adjective
equal,adjective
prevailing,adjective
national,adjective
alarming,adjective
agitated,adjective
teeming,adjective
concerned,adjective
sordid,adjective
silken,adjective
waiting,adjective
strong,adjective
fine,adjective
petty,adjective
revolutionary,adjective
educational,adjective
viable,adjective
rare,adjective
public,adjective
eccentric,adjective
flying,adjective
guilty,adjective
nonstop,adjective
verifiable,adjective
musical,adjective
flowery,adjective
fond,adjective
troubled,adjective
recumbent,adjective
frightened,adjective
quick,adjective
cautious,adjective
crisp,adjective
dark,adjective
excellent,adjective
unwitting,adjective
tinted,adjective
panicky,adjective
elderly,adjective
barren,adjective
ambitious,adjective
chief,adjective
usable,adjective
fragile,adjective
only,adjective
damaged,adjective
great,adjective
classic,adjective
pedantic,adjective
vigorous,adjective
neat,adjective
celebrated,adjective
inactive,adjective
hospitable,adjective
milky,adjective
shrill,adjective
exotic,adjective
liable,adjective
ajar,adjective
experienced,adjective
preferable,adjective
mammoth,adjective
livid,adjective
penetrating,adjective
respectable,adjective
adventurous,adjective
golden,adjective
simple,adjective
ancient,adjective
webbed,adjective
amused,adjective
jagged,adjective
feisty,adjective
sagacious,adjective
prized,adjective
buttery,adjective
imaginative,adjective
mundane,adjective
muddy,adjective
free,adjective
jocular,adjective
material,adjective
abandoned,adjective
bountiful,adjective
slim,adjective
thin,adjective
fit,adjective
kempt,adjective
low,adjective
cheery,adjective
jobless,adjective
scenic,adjective
rich,adjective
unsteady,adjective
new,adjective
memorable,adjective
little,adjective
keen,adjective
tangible,adjective
numb,adjective
tasty,adjective
lean,adjective
admired,adjective
urban,adjective
renowned,adjective
late,adjective
nifty,adjective
prim,adjective
polished,adjective
welcome,adjective
graceful,adjective
equatorial,adjective
complicated,adjective
extensive,adjective
jealous,adjective
monstrous,adjective
grubby,adjective
worried,adjective
tumultuous,adjective
reckless,adjective
light,adjective
heartfelt,adjective
makeshift,adjective
sapient,adjective
dangerous,adjective
gleaming,adjective
certain,adjective
relieved,adjective
legitimate,adjective
chubby,adjective
bewitched,adjective
tolerant,adjective
ruthless,adjective
normal,adjective
blue,adjective
miserly,adjective
picturesque,adjective
early,adjective
impressive,adjective
basic,adjective
incandescent,adjective
fiery,adjective
resonant,adjective
valuable,adjective
mellow,adjective
acid,adjective
firm,adjective
unctuous,adjective
gloomy,adjective
deficient,adjective
lavish,adjective
scented,adjective
loyal,adjective
utter,adjective
used,adjective
grave,adjective
jaunty,adjective
broken,adjective
velvety,adjective
gruesome,adjective
adept,adjective
frivolous,adjective
knowing,adjective
husky,adjective
lively,adjective
vital,adjective
waterlogged,adjective
proficient,adjective
gallant,adjective
sardonic,adjective
bleak,adjective
agonizing,adjective
limber,adjective
tired,adjective
wide,adjective
prominent,adjective
quintessential,adjective
untidy,adjective
sticky,adjective
sad,adjective
hurried,adjective
dead,adjective
arid,adjective
colorful,adjective
saintly,adjective
coarse,adjective
flickering,adjective
expensive,adjective
grouchy,adjective
glittering,adjective
decisive,adjective
shocked,adjective
rustic,adjective
scientific,adjective
itchy,adjective
peaceful,adjective
married,adjective
aromatic,adjective
rousing,adjective
lackadaisical,adjective
multicolored,adjective
mysterious,adjective
all,adjective
private,adjective
expectant,adjective
forceful,adjective
automatic,adjective
happy,adjective
hanging,adjective
positive,adjective
familiar,adjective
sinewy,adjective
modern,adjective
trim,adjective
polite,adjective
frail,adjective
vulnerable,adjective
plausible,adjective
hectic,adjective
elastic,adjective
bewildering,adjective
charming,adjective
long,adjective
usual,adjective
unfettered,adjective
mute,adjective
idiotic,adjective
singular,adjective
flawed,adjective
fair,adjective
lethal,adjective
fancy,adjective
sneaky,adjective
crafty,adjective
torpid,adjective
ready,adjective
punctual,adjective
liberal,adjective
vacant,adjective
